task	difficulty	category	tags	docker_image
adaptive-rejection-sampler	medium	scientific-computing	applied-statistics,adaptive-rejection-sampling,Bayesian-inference,simulation	alexgshaw/adaptive-rejection-sampler:20251031
bn-fit-modify	hard	scientific-computing	bayesian-network,stats	alexgshaw/bn-fit-modify:20251031
break-filter-js-from-html	medium	security	security	alexgshaw/break-filter-js-from-html:20251031
build-cython-ext	medium	debugging	coding,dependency,compilation	alexgshaw/build-cython-ext:20251031
build-pmars	medium	software-engineering	build-tools,compilation,debian,gaming,pmars,corewars	alexgshaw/build-pmars:20251031
build-pov-ray	medium	software-engineering	build-tools,compilation,graphics,ray-tracing,legacy-software,research	alexgshaw/build-pov-ray:20251031
caffe-cifar-10	medium	machine-learning	cnn,caffe	alexgshaw/caffe-cifar-10:20251031
cancel-async-tasks	hard	software-engineering	async,concurrency,python	alexgshaw/cancel-async-tasks:20251031
chess-best-move	medium	games		alexgshaw/chess-best-move:20251031
circuit-fibsqrt	hard	software-engineering	software-engineering	alexgshaw/circuit-fibsqrt:20251031
cobol-modernization	easy	software-engineering	coding	alexgshaw/cobol-modernization:20251031
code-from-image	medium	software-engineering	ocr	alexgshaw/code-from-image:20251031
compile-compcert	medium	system-administration	compilation,compilers	alexgshaw/compile-compcert:20251031
configure-git-webserver	hard	system-administration	system,version-control,web	alexgshaw/configure-git-webserver:20251031
constraints-scheduling	medium	personal-assistant	calendar,scheduling,constraint-satisfaction,ics-parsing,temporal-reasoning	alexgshaw/constraints-scheduling:20251031
count-dataset-tokens	medium	model-training	machine-learning,data,datasets,tokenization,huggingface	alexgshaw/count-dataset-tokens:20251031
crack-7z-hash	medium	security	decrypt,security,file-operations	alexgshaw/crack-7z-hash:20251031
custom-memory-heap-crash	medium	debugging	cpp,memory-management,debugging	alexgshaw/custom-memory-heap-crash:20251031
db-wal-recovery	medium	file-operations	database,encryption,recovery	alexgshaw/db-wal-recovery:20251031
distribution-search	medium	machine-learning	coding,statistics,machine-learning	alexgshaw/distribution-search:20251031
dna-assembly	hard	scientific-computing	biology,cloning	alexgshaw/dna-assembly:20251031
dna-insert	medium	scientific-computing	biology,cloning	alexgshaw/dna-insert:20251031
extract-elf	medium	file-operations		alexgshaw/extract-elf:20251031
extract-moves-from-video	hard	file-operations	file-operations,web,video-processing	alexgshaw/extract-moves-from-video:20251031
feal-differential-cryptanalysis	hard	mathematics	software-engineering	alexgshaw/feal-differential-cryptanalysis:20251031
financial-document-processor	medium	data-processing	ocr,image-processing,financial,file-operations	alexgshaw/financial-document-processor:20251031
fix-code-vulnerability	hard	security	security,code-vulnerability,common-weakness-enumeration	alexgshaw/fix-code-vulnerability:20251031
fix-git	easy	software-engineering	coding,version-control	alexgshaw/fix-git:20251031
fix-ocaml-gc	hard	software-engineering	troubleshooting	alexgshaw/fix-ocaml-gc:20251031
gcode-to-text	medium	file-operations	file-operations	alexgshaw/gcode-to-text:20251031
git-leak-recovery	medium	software-engineering	git,security	alexgshaw/git-leak-recovery:20251031
git-multibranch	medium	system-administration	system,version-control,web	alexgshaw/git-multibranch:20251031
headless-terminal	medium	software-engineering	bash,terminal	alexgshaw/headless-terminal:20251031
hf-model-inference	medium	data-science	api,coding,data-processing,data-science	alexgshaw/hf-model-inference:20251031
install-windows-3.11	hard	system-administration	virtualization,qemu,windows-3.11,vnc,sys-admin,retro-computing	alexgshaw/install-windows-3.11:20251031
kv-store-grpc	medium	software-engineering	coding,file-operations,system	alexgshaw/kv-store-grpc:20251031
large-scale-text-editing	medium	file-operations	text-editing,large-scale-text-manipulation,vim,vim-macros	alexgshaw/large-scale-text-editing:20251031
largest-eigenval	medium	mathematics	coding,optimization,constraint,numerical-approximation	alexgshaw/largest-eigenval:20251031
llm-inference-batching-scheduler	hard	machine-learning	batching,inference,performance-optimization,scheduling	alexgshaw/llm-inference-batching-scheduler:20251031
log-summary-date-ranges	medium	data-processing	log-analysis,report-generation,data-processing	alexgshaw/log-summary-date-ranges:20251031
mailman	medium	system-administration	email-server,mailing-list	alexgshaw/mailman:20251031
make-mips-interpreter	hard	software-engineering	software-engineering	alexgshaw/make-mips-interpreter:20251031
mcmc-sampling-stan	hard	data-science	R,stan,bayesian-statistics,mcmc	alexgshaw/mcmc-sampling-stan:20251031
merge-diff-arc-agi-task	medium	debugging	git,coding	alexgshaw/merge-diff-arc-agi-task:20251031
model-extraction-relu-logits	hard	mathematics	security	alexgshaw/model-extraction-relu-logits:20251031
modernize-scientific-stack	medium	scientific-computing	python-migration,scientific-computing,legacy-modernization,climate-science,data-processing	alexgshaw/modernize-scientific-stack:20251031
mteb-leaderboard	medium	data-science	retrieval,mteb	alexgshaw/mteb-leaderboard:20251031
mteb-retrieve	medium	data-science	data-processing,data-science,mteb	alexgshaw/mteb-retrieve:20251031
multi-source-data-merger	medium	data-processing	data-processing,etl,schema-mapping,conflict-resolution,pandas,parquet	alexgshaw/multi-source-data-merger:20251031
nginx-request-logging	medium	system-administration	web-server	alexgshaw/nginx-request-logging:20251031
openssl-selfsigned-cert	medium	security	coding,file-operations,security,system	alexgshaw/openssl-selfsigned-cert:20251031
overfull-hbox	easy	debugging	latex,document-processing,combinatorial-optimization	alexgshaw/overfull-hbox:20251031
password-recovery	hard	security	system,file-operations,troubleshooting	alexgshaw/password-recovery:20251031
path-tracing	hard	software-engineering	images	alexgshaw/path-tracing:20251031
path-tracing-reverse	hard	software-engineering	images	alexgshaw/path-tracing-reverse:20251031
polyglot-c-py	medium	software-engineering	coding	alexgshaw/polyglot-c-py:20251031
polyglot-rust-c	hard	software-engineering	coding,no-verified-solution	alexgshaw/polyglot-rust-c:20251031
portfolio-optimization	medium	optimization	c-programming,python-extension,optimization	alexgshaw/portfolio-optimization:20251031
protein-assembly	hard	scientific-computing	biology,cloning,proteins	alexgshaw/protein-assembly:20251031
prove-plus-comm	easy	software-engineering	coding	alexgshaw/prove-plus-comm:20251031
pypi-server	medium	software-engineering	coding,system	alexgshaw/pypi-server:20251031
pytorch-model-cli	medium	model-training	coding,C,pytorch	alexgshaw/pytorch-model-cli:20251031
pytorch-model-recovery	medium	model-training	coding,pytorch,machine-learning	alexgshaw/pytorch-model-recovery:20251031
